Address,Zip Code,SqFt,Beds,Baths,Price,Est,Lat,Long
10136 Cartagena Ave SW,87121,2697,5,4,196900,208053,35.044018,-106.744682
8516 Trotter Rd SW,87121,1168,3,2,137500,145955,35.038925,-106.730118
414 Viking Dr SW,87121,1680,3,2,134900,146004,35.069328,-106.733902
2920 Pauza Dr SW,87121,1552,3,2,205900,175407,35.03378,-106.71387
608 Avanti St SW,87121,1495,3,3,184000,182960,35.062496,-106.739059
9708 Datura Trl NE,87122,4682,5,4,899000,950317,35.17592,-106.53229
8420 Desert Sunrise Rd NE,87122,1897,3,3,300000,310299,35.188148,-106.549652
12301 Pino Ave NE,87122,2978,3,3,575000,529260,35.168606,-106.501747
11804 Zinfandel Ave NE,87122,7116,4,6,1795000,NA,35.15841,-106.50586
11405 Signal Ave NE,87122,5489,5,6,799000,850634,35.183212,-106.512054
11805 Signal Ave NE,87122,2940,4,3,445000,528749,35.183079,-106.507721
605 Running Water Cir SE,87123,2948,3,4,385000,389772,35.054218,-106.502182
713 Burma Dr NE,87123,1370,3,2,169900,179899,35.082176,-106.510468
825 Marcella St NE,87123,1374,3,2,165000,177203,35.085873,-106.522339
220 Serenity Hills Pl SE,87123,1550,3,2,239500,232561,35.064232,-106.488838
11519 Kings Canyon Rd SE,87123,1730,3,2,252900,247945,35.058872,-106.51857
12504 Monarch Dr NE,87123,1450,3,2,169900,181746,35.080971,-106.508957
